Campus,Year,Session,Subject,Course,Section,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,85-89.1,90-100.1
UBCO,2021.0,W,POLI,465.0,OVERALL,49.0,79.69387755,10.81319426,94.0,42.0,1.0,1.0,0.0,1.0,4.0,1.0,4.0,4.0,14.0,9.0,10.0,,
UBCO,2021.0,W,POLI,497.0,OVERALL,8.0,84.5,3.207134903,90.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
UBCO,2021.0,W,ECON,101.0,1,333.0,67.5945946,15.95194877,95.0,0.0,25.0,24.0,31.0,40.0,31.0,38.0,34.0,38.0,34.0,21.0,17.0,,
UBCO,2021.0,W,ECON,101.0,101,274.0,66.96350365,16.77688483,96.0,0.0,25.0,26.0,24.0,21.0,23.0,39.0,30.0,28.0,26.0,14.0,18.0,8.0,
UBCO,2021.0,W,ECON,101.0,OVERALL,607.0,67.30971993,16.31890179,96.0,0.0,50.0,50.0,55.0,61.0,54.0,77.0,64.0,66.0,60.0,35.0,35.0,,
UBCO,2021.0,W,ECON,102.0,1,275.0,65.66181818,15.46688824,96.0,0.0,22.0,27.0,22.0,33.0,45.0,30.0,27.0,20.0,25.0,16.0,8.0,6.0,
UBCO,2021.0,W,ECON,102.0,101,342.0,75.02631579,18.18806634,98.0,0.0,20.0,8.0,16.0,15.0,24.0,33.0,26.0,35.0,40.0,60.0,65.0,,
UBCO,2021.0,W,ECON,102.0,OVERALL,617.0,70.85251216,17.64179929,98.0,0.0,42.0,35.0,38.0,48.0,69.0,63.0,53.0,55.0,65.0,76.0,73.0,,
UBCO,2021.0,W,ECON,204.0,1,59.0,58.16949153,23.87117187,99.0,6.0,22.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,,
UBCO,2021.0,W,ECON,204.0,101,71.0,60.54929578,17.50003162,94.0,14.0,10.0,12.0,9.0,11.0,3.0,6.0,5.0,3.0,6.0,3.0,3.0,,
UBCO,2021.0,W,ECON,204.0,OVERALL,130.0,59.46923077,20.58643659,99.0,6.0,32.0,16.0,11.0,15.0,5.0,10.0,7.0,8.0,11.0,7.0,8.0,,
UBCO,2021.0,W,ECON,205.0,1,34.0,57.17647059,20.41014393,93.0,4.0,11.0,4.0,7.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,,
UBCO,2021.0,W,ECON,205.0,101,48.0,55.97916667,19.92805099,89.0,3.0,13.0,5.0,8.0,6.0,1.0,5.0,4.0,1.0,2.0,3.0,0.0,,
UBCO,2021.0,W,ECON,205.0,OVERALL,82.0,56.47560976,20.01248105,93.0,3.0,24.0,9.0,15.0,7.0,3.0,5.0,5.0,2.0,5.0,6.0,1.0,,
UBCO,2021.0,W,ECON,221.0,1,29.0,65.34482759,17.77694306,97.0,20.0,5.0,2.0,1.0,3.0,6.0,2.0,1.0,2.0,3.0,1.0,3.0,,
UBCO,2021.0,W,ECON,221.0,OVERALL,29.0,65.34482759,17.77694306,97.0,20.0,5.0,2.0,1.0,3.0,6.0,2.0,1.0,2.0,3.0,1.0,3.0,,
